1,Old City 2
2,Foggy Bottom
3,Central-tri 1
4,Old City 1
5,Southwest Waterfront
6,Capitol Hill
7,Georgetown
8,Glover Park
9,Burleith
10,Palisades
11,Berkley
12,Foxhall
13,Kent
14,Wesley Heights
15,American University
16,Spring Valley
17,Chevy Chase
18,North Cleveland Park
19,Wakefield
20,Cleveland Park
21,Observatory Circle
22,Forest Hills
23,Massachusetts Avenue Heights
24,Woodley
25,Takoma Park
26,Rock Creek Park
27,Kalorama
28,Garfield
29,Hawthorne
30,Mt. Pleasant
31,Crestwood
32,Columbia Heights
33,16th Street Heights
34,Brightwood
35,Shepherd Heights
36,Colonial Village
37,Petworth
38,Ledroit Park
39,Eckington
40,Chillum
41,Brookland
42,Riggs Park
43,Brentwood
44,Trinidad
45,Woodridge
46,Michigan Park
47,Fort Lincoln
48,Lily Ponds
49,Deanwood
50,Marshall Heights
51,Fort Dupont Park
52,Hillcrest
53,Anacostia
54,Randle Heights
55,Barry Farms
56,Congress Heights
57,Central-tri 3
